#depth variance  VR       nsta
  8  5.265e-09  4.278e+01   5
#mxx        mxy        mxz        myy        myz        mzz
 3.864e+21 -6.789e+21 -1.726e+21 -1.939e+21  1.812e+21 -1.925e+21
#st1 rk1 dp1 st2 rk2 dp2
192 165  86 282   4  76
#pdc pclvd piso
 46  54   0

#filename
BRLDA.data
#dt   npts  dist   Az   Zcor VR
1.000  120  46.0 212.0    5  4.443e+01
#data T          R          Z    synth T          R          Z
-3.654e-06  1.543e-05 -8.446e-06  3.077e-10  1.384e-07 -3.745e-08
-1.602e-05  3.735e-06 -7.157e-06 -1.620e-08 -1.755e-08 -8.888e-08
-1.033e-05 -1.814e-05  1.070e-06 -1.903e-08 -1.395e-07 -1.285e-07
 3.318e-06 -2.775e-05  1.077e-05 -1.151e-08 -2.421e-07 -1.412e-07
 9.763e-06 -1.615e-05  1.325e-05 -2.779e-10 -3.233e-07 -1.202e-07
 4.171e-06  5.218e-06  4.740e-06  6.358e-09 -3.659e-07 -7.640e-08
-6.356e-06  1.933e-05 -7.997e-06  1.998e-09 -3.486e-07 -2.056e-08
-1.048e-05  1.643e-05 -1.591e-05 -1.549e-08 -2.744e-07  2.343e-08
-5.861e-06  1.568e-06 -1.620e-05 -4.246e-08 -1.521e-07  6.174e-08
-1.055e-06 -1.032e-05 -1.201e-05 -7.116e-08 -4.323e-08  3.845e-08
-2.986e-06 -1.100e-05 -5.226e-06 -9.149e-08  1.879e-07  2.224e-07
-7.454e-06 -6.111e-06  5.333e-06 -1.350e-07  2.245e-06  1.976e-06
-4.917e-06  1.159e-06  6.566e-06 -3.050e-07  6.636e-06  4.244e-06
 6.457e-06  9.611e-06  1.536e-05 -6.259e-07  9.627e-06  3.982e-06
 1.297e-05  9.275e-06  1.720e-05 -9.943e-07  9.638e-06  2.422e-06
 6.886e-06  1.428e-05  4.885e-06 -1.375e-06  8.323e-06  7.004e-07
-8.137e-06  1.611e-05 -1.056e-05 -1.748e-06  4.617e-06 -2.795e-06
-1.715e-05  6.429e-06 -2.423e-05 -1.933e-06 -2.835e-06 -7.488e-06
-1.458e-05 -7.924e-06 -2.675e-05 -1.704e-06 -1.307e-05 -1.236e-05
