#depth variance  VR       nsta
  8  4.818e-10  3.705e+01   4
#mxx        mxy        mxz        myy        myz        mzz
 1.356e+21 -5.250e+21 -1.039e+21 -7.134e+20  7.712e+20 -6.422e+20
#st1 rk1 dp1 st2 rk2 dp2
276   9  83 185 173  82
#pdc pclvd piso
 70  30   0

#filename
TD002.data
#dt   npts  dist   Az   Zcor VR
1.000  150 206.0 123.0   15  6.493e+01
#data T          R          Z    synth T          R          Z
 1.783e-05  1.504e-05 -1.827e-05  1.568e-05  1.750e-06 -3.339e-06
 2.468e-06  1.517e-05 -2.462e-05  2.337e-07  1.186e-06 -2.463e-06
-1.912e-05  1.165e-05 -3.124e-05 -2.072e-05  8.152e-07 -1.533e-06
-4.633e-05  5.673e-06 -3.533e-05 -4.539e-05  8.036e-07 -1.160e-06
-7.636e-05 -2.652e-07 -3.517e-05 -7.082e-05  1.044e-06 -1.900e-06
-1.042e-04 -3.291e-06 -3.135e-05 -9.321e-05  1.177e-06 -3.815e-06
-1.239e-04 -1.464e-06 -2.648e-05 -1.086e-04  8.210e-07 -6.229e-06
-1.309e-04  5.017e-06 -2.303e-05 -1.134e-04 -7.568e-08 -8.024e-06
-1.227e-04  1.457e-05 -2.102e-05 -1.050e-04 -1.166e-06 -8.396e-06
-1.017e-04  2.536e-05 -1.803e-05 -8.210e-05 -1.985e-06 -7.495e-06
-6.981e-05  3.476e-05 -1.308e-05 -4.528e-05 -2.159e-06 -6.200e-06
-2.797e-05  4.135e-05 -5.587e-06  1.295e-06 -1.305e-06 -5.149e-06
 1.871e-05  4.459e-05  4.719e-06  5.061e-05  9.393e-07 -4.198e-06
 6.549e-05  4.217e-05  1.547e-05  9.454e-05  4.567e-06 -2.798e-06
 1.065e-04  3.161e-05  2.637e-05  1.251e-04  9.057e-06 -4.885e-07
 1.326e-04  1.281e-05  3.776e-05  1.358e-04  1.359e-05  2.981e-06
 1.375e-04 -1.448e-05  4.755e-05  1.241e-04  1.717e-05  7.641e-06
 1.188e-04 -4.855e-05  5.456e-05  9.248e-05  1.875e-05  1.326e-05
 7.985e-05 -8.497e-05  5.807e-05  4.866e-05  1.746e-05  1.923e-05
 3.042e-05 -1.180e-04  5.599e-05  3.794e-06  1.294e-05  2.455e-05
-1.758e-05 -1.419e-04  4.669e-05 -3.082e-05  5.397e-06  2.799e-05
-5.121e-05 -1.519e-04  3.023e-05 -4.770e-05 -4.300e-06  2.841e-05
-6.264e-05 -1.461e-04  8.023e-06 -4.622e-05 -1.466e-05  2.503e-05
-5.158e-05 -1.243e-04 -1.723e-05 -3.246e-05 -2.376e-05  1.763e-05
-2.428e-05 -8.976e-05 -4.105e-05 -1.580e-05 -2.959e-05  6.819e-06
 7.566e-06 -4.875e-05 -5.843e-05 -4.382e-06 -3.061e-05 -5.758e-06
 3.199e-05 -9.184e-06 -6.487e-05 -1.554e-06 -2.624e-05 -1.766e-05
 4.175e-05  2.187e-05 -5.807e-05 -4.942e-06 -1.730e-05 -2.623e-05
 3.639e-05  4.168e-05 -3.955e-05 -8.925e-06 -5.971e-06 -2.949e-05
 2.153e-05  5.139e-05 -1.400e-05 -8.983e-06  4.810e-06 -2.696e-05
 6.673e-06  5.501e-05  1.120e-05 -4.828e-06  1.230e-05 -2.001e-05
-3.495e-07  5.796e-05  2.890e-05  5.880e-09  1.508e-05 -1.138e-05
 1.735e-06  6.382e-05  3.553e-05  1.584e-06  1.364e-05 -4.021e-06
 8.400e-06  7.307e-05  3.220e-05 -9.619e-07  1.005e-05  2.689e-07
 1.288e-05  8.254e-05  2.344e-05 -4.906e-06  6.804e-06  1.655e-06
 9.901e-06  8.789e-05  1.450e-05 -6.709e-06  5.240e-06  1.821e-06
-3.608e-07  8.585e-05  8.599e-06 -5.327e-06  4.897e-06  2.529e-06
-1.254e-05  7.747e-05  5.922e-06 -2.805e-06  4.234e-06  4.171e-06
-1.992e-05  6.782e-05  4.028e-06 -1.735e-06  2.294e-06  5.600e-06
-1.946e-05  6.220e-05  9.621e-07 -2.490e-06 -2.764e-07  5.503e-06
-1.342e-05  6.263e-05 -2.735e-06 -3.238e-06 -1.959e-06  3.908e-06
-7.255e-06  6.547e-05 -5.459e-06 -2.460e-06 -2.064e-06  2.163e-06
-5.796e-06  6.389e-05 -5.497e-06 -7.472e-07 -1.381e-06  1.371e-06
-9.263e-06  5.283e-05 -3.165e-06  2.177e-07 -1.032e-06  1.297e-06
-1.376e-05  3.348e-05 -9.598e-07 -6.267e-08 -1.156e-06  1.076e-06
-1.516e-05  1.215e-05 -1.047e-06 -4.599e-07 -1.156e-06  5.161e-07
-1.227e-05 -4.688e-06 -3.036e-06  6.907e-10 -8.047e-07  9.629e-08
-8.023e-06 -1.518e-05 -5.080e-06  8.388e-07 -4.412e-07  1.444e-08
-6.350e-06 -2.363e-05 -4.919e-06  1.075e-06 -2.651e-07 -4.066e-09
-8.471e-06 -3.540e-05 -2.322e-06  7.663e-07 -1.312e-07 -9.137e-08
-1.166e-05 -5.159e-05  9.257e-07  7.457e-07  2.349e-08 -1.166e-07
-1.194e-05 -6.762e-05  2.822e-06  1.205e-06  1.067e-07 -8.028e-08
-7.802e-06 -7.796e-05  2.609e-06  1.511e-06  1.401e-07 -9.357e-08
-1.890e-06 -8.148e-05  1.840e-06  1.381e-06  1.983e-07 -1.160e-07
 2.774e-06 -8.156e-05  1.738e-06  1.272e-06  2.385e-07 -8.362e-08
 5.345e-06 -8.091e-05  1.604e-06  1.450e-06  2.295e-07 -5.834e-08
 7.288e-06 -7.915e-05 -5.795e-07  1.560e-06  2.249e-07 -5.983e-08
 9.238e-06 -7.422e-05 -5.567e-06  1.371e-06  2.245e-07 -3.487e-08
 9.973e-06 -6.526e-05 -1.095e-05  1.156e-06  1.910e-07 -3.422e-09
 8.229e-06 -5.431e-05 -1.382e-05  1.073e-06  1.502e-07  2.332e-09
 4.880e-06 -4.337e-05 -1.350e-05  8.954e-07  1.185e-07  1.518e-08
 1.989e-06 -3.154e-05 -1.240e-05  5.514e-07  7.039e-08  3.562e-08
 5.721e-07 -1.650e-05 -1.248e-05  2.432e-07  1.658e-08  3.832e-08
 2.227e-07  2.661e-07 -1.276e-05  8.785e-09 -2.465e-08  4.301e-08
 3.032e-07  1.377e-05 -1.136e-05 -2.660e-07 -6.732e-08  5.375e-08
 1.067e-06  2.229e-05 -8.702e-06 -5.266e-07 -1.073e-07  4.994e-08
 2.310e-06  2.971e-05 -6.381e-06 -6.739e-07 -1.335e-07  4.417e-08
 1.949e-06  3.875e-05 -4.211e-06 -7.491e-07 -1.575e-07  4.270e-08
-4.399e-07  4.633e-05 -7.437e-07 -7.740e-07 -1.787e-07  3.363e-08
-1.759e-06  4.939e-05  3.580e-06 -7.044e-07 -1.908e-07  2.792e-08
